ID,RATING,NOAA,AR_START,X,Y,AR_END,SIG_START,SIG_END,TBEST,ORIENTATION,HEMISPHERE,SIZE,ASPECT,EUV_FIL,HALPHA_FIL,SUNSPOTS,FLUX_EMERGE,FLUX_CANCEL,FLUX_PEAK,FLARE,CME,CME_LINKS,FIL_ERUPT,TRANSIENT_CORONAL_HOLE,FLARE_RIBBONS,POST_FLARE_LOOPS,NEARBY_CORONAL_HOLE,NEARBY_AR,XRT_FRAMES,COMMENTS
1,2,10944,2007-02-26T18:03:00.000,-312,29.5,2007-03-07T06:14:00.000,2007-02-26T11:17:00.000,2007-02-27T11:40:00.000,2007-02-26T18:03:00.000,I,N,138.6,3.78,?,Y,1,N,Y,9.30E+21,"B: 1, C: 0, M: 0, X: 0|B2.5 03/02 05:29",NA,NA,-,-,-,-,-,-,-,-
2,3,10949,2007-03-27T13:00:00.000,293,237,2007-04-08T13:00:00.000,2007-04-02T01:00:00.000,2007-04-05T07:00:00.000,2007-04-03T07:00:00.000,I,N,180,1.8,N,Y,0,N,Y,5.50E+21,"B: 2, C: 0, M: 0, X: 0|B1.0 03/28 19:28|B2.2 03/31 01:43",NA,NA,-,-,-,-,-,NA,-,-
3,1,10955,2007-05-06T18:05:00.000,303,-73.1,2007-05-16T10:46:00.000,2007-05-11T10:53:00.000,2007-05-14T06:14:00.000,2007-05-12T11:33:00.000,S,S,260.56,2.69,N,Y,Multiple,Y,Y,6.40E+21,"B: 0, C: 0, M: 0, X: 0",NA,NA,-,-,-,-,-,-,7+,-
4,3,10956,2007-05-13T10:59:00.000,280,73,2007-05-24T11:17:00.000,2007-05-19T18:03:00.000,2007-05-22T06:21:00.000,2007-05-20T10:28:00.000,S,E,170,2.4,N,Y,1,Y,Y,1.10E+22,"B: 22, C: 2, M: 0, X: 0|B2.0 05/14 07:47|B4.2 05/15 04:35|B1.1 05/15 05:14|C1.0 05/15 15:37|B1.7 05/15 17:05|B3.2 05/15 18:09|B2.7 05/15 19:07|B2.0 05/15 23:15|B1.0 05/16 01:13|B2.0 05/16 01:53|B2.6 05/16 02:22|B1.9 05/16 06:01|B1.8 05/16 12:22|B1.8 05/16 13:05|C2.9 05/16 17:41|B1.7 05/16 19:04|B2.3 05/17 03:10|B5.5 05/17 12:56|B1.4 05/17 13:47|B1.0 05/17 14:45|B1.8 05/17 18:05|B9.5 05/19 13:02|B6.7 05/20 05:56|B2.7 05/22 23:25","05/15 + 08 hrs, 0300 km/s|05/16 + 01 hrs, 0256 km/s|05/16 + 01 hrs, 0434 km/s|05/16 + 00 hrs, 0421 km/s|05/19 + 02 hrs, 0288 km/s|05/20 + 01 hrs, 0279 km/s",http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2007/05/CME0014/CME.html|http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2007/05/CME0015/CME.html|http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2007/05/CME0016/CME.html|http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2007/05/CME0017/CME.html|http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2007/05/CME0018/CME.html|http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2007/05/CME0019/CME.html,-,-,-,-,-,-,-,Sterling 2010
5,1,10958,2007-05-30T06:18:40.000,327,-194,2007-06-09T06:08:00.000,2007-06-04T11:37:00.000,2007-06-05T17:36:00.000,2007-06-05T00:22:00.000,S,S,114.75,1.41,?,?,?,Y,Y,5.00E+21,"B: 1, C: 0, M: 0, X: 0|B1.6 05/31 10:22","05/31 + 03 hrs, 1787 km/s",http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2007/05/CME0028/CME.html,-,-,-,-,-,-,3,-
7,0,10964,2007-07-12T17:45:55.000,257,13.9,2007-07-17T11:49:00.000,2007-07-12T17:45:00.000,2007-07-13T06:02:00.000,2007-07-12T17:45:00.000,S,E,76.88,2.11,?,?,?,Y,Y,3.00E+21,"B: 1, C: 0, M: 0, X: 0|B2.9 07/16 01:01",NA,NA,-,-,-,-,-,-,1,-
8,3,NA,2007-10-11T13:00:00.000,94,48.9,2007-10-23T19:00:00.000,2007-10-14T07:00:00.000,2007-10-19T01:00:00.000,2007-10-17T07:00:00.000,I,S,120,2.6,-,-,-,N,N,3.10E+21,No AR#,NA,NA,-,-,-,-,-,NA,-,-
9,3,10975,2007-11-22T18:09:00.000,267,47.4,2007-11-28T19:00:00.000,2007-11-24T06:03:00.000,2007-11-26T13:00:00.000,2007-11-24T18:02:00.000,S,E,110,3.5,N,N,0,Y,Y,1.80E+21,"B: 0, C: 0, M: 0, X: 0",NA,NA,-,-,-,-,-,NA,-,-
10,3,10977,2007-12-01T06:00:00.000,116,-42.4,2007-12-10T06:07:00.000,2007-12-05T06:17:00.000,2007-12-08T11:35:00.000,2007-12-07T00:08:00.000,S,S,100,2.5,M,N,0,Y,Y,2.10E+21,"B: 3, C: 0, M: 0, X: 0|B7.0 12/02 20:05|B1.1 12/05 04:15|B1.4 12/07 04:41","12/05 + 01 hrs, 0115 km/s|12/05 + 02 hrs, 0226 km/s",http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2007/12/CME0004/CME.html|http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2007/12/CME0005/CME.html,-,-,-,-,-,-,4,-
11,3,10987,2008-03-22T18:14:00.000,-9.73,21.3,2008-04-01T17:57:00.000,2008-03-26T18:02:00.000,2008-03-30T18:19:00.000,2008-03-27T06:17:00.000,S,S,135,2.7,N,Y,2,Y,Y,1.20E+22,"B: 2, C: 0, M: 0, X: 0|B5.1 03/24 02:44|B4.8 03/27 16:36",NA,NA,-,-,-,-,-,-,8+,-
13,2,NA,2008-05-09T17:51:00.000,139,5.96,2008-05-12T06:02:00.000,2008-05-10T06:02:00.000,2008-05-11T06:35:00.000,2008-05-10T17:57:00.000,S,S,152.24,4.42,-,-,-,N,N,1.30E+21,No AR#,NA,NA,-,-,-,-,-,-,3,-
14,2,11000,2008-07-17T18:02:00.000,72,-276,2008-07-25T06:02:00.000,2008-07-19T17:46:00.000,2008-07-21T18:17:00.000,2008-07-20T17:57:00.000,S,S,108.12,2.84,N,N,0,Y,Y,1.30E+21,"B: 0, C: 0, M: 0, X: 0",NA,NA,-,-,-,-,Y,-,3,-
15,2,11007,2008-10-31T17:57:30.000,59,557,2008-11-05T18:02:00.000,2008-10-31T17:57:00.000,2008-11-02T18:04:00.000,2008-11-01T05:42:00.000,I,N,120.97,2.39,N,N,0,Y,Y,3.70E+21,"B: 3, C: 1, M: 0, X: 0|B7.2 11/02 15:05|B5.7 11/02 20:15|B2.4 11/03 22:56|C1.0 11/04 03:30","11/03 + 01 hrs, 0376 km/s|11/04 + 02 hrs, 0612 km/s",http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2008/11/CME0008/CME.html|http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2008/11/CME0009/CME.html,-,-,-,-,-,-,4+,-
17,2,NA,2009-02-10T18:03:30.000,193,72.6,2009-02-20T06:01:00.000,2009-02-15T18:03:00.000,2009-02-17T17:50:00.000,2009-02-17T05:47:00.000,S,E,109.69,2.33,-,-,-,N,Y,1.80E+21,No AR#,NA,NA,-,-,-,-,-,-,5,-
18,1,11017,2009-05-10T05:52:33.000,280,372,2009-05-21T06:03:00.000,2009-05-15T05:52:00.000,2009-05-18T18:03:00.000,2009-05-17T05:29:00.000,S,N,165.07,2.25,N,N,0,Y,Y,6.50E+21,"B: 0, C: 0, M: 0, X: 0",NA,NA,-,-,-,-,-,-,6,-
19,1,NA,2009-05-22T06:21:02.000,136,-481,2009-05-28T17:41:00.000,2009-05-26T23:52:00.000,2009-05-27T18:01:00.000,2009-05-27T06:21:00.000,S,S,87.58,2.42,-,-,-,N,Y,1.40E+21,No AR#,NA,NA,-,-,-,-,-,-,2,-
21,0,NA,2009-07-20T17:52:00.000,462,-166,2009-07-26T18:09:00.000,2009-07-24T06:20:00.000,2009-07-26T06:03:00.000,2009-07-25T05:48:00.000,S,S,63.66,1.98,-,-,-,Y,Y,9.00E+20,No AR#,NA,NA,-,-,-,-,-,-,2,-
